reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
4/17/1996,-0.07,-0.05,-0.02,-40
7/17/1996,-0.02,-0.04,0.02,50
10/16/1996,0.0018,-0.01,0.0118,118
1/15/1997,-0.03,-0.02,-0.01,-50
4/16/1997,-0.05,-0.04,-0.01,-25
7/16/1997,-0.02,-0.02,0,0
10/15/1997,-0.0114,None,None,None
1/14/1998,0.01,0.01,0,0
4/15/1998,0.01,0.01,0,0
7/15/1998,0.01,0.01,0,0
10/14/1998,0.01,0.02,-0.01,-50
1/13/1999,0.01,0.01,0,0
4/14/1999,0.01,0.01,0,0
7/14/1999,0.01,0.01,0,0
10/13/1999,0.02,0.02,0,0
1/19/2000,0.01,0.01,0,0
4/19/2000,0.01,0.01,0,0
7/18/2000,0.01,0.01,0,0
10/18/2000,0.01,0.01,0,0
12/31/2000,-0.0097,None,None,None
4/18/2001,0.01,None,None,None
7/18/2001,0.003,None,None,None
10/18/2001,0.0034,None,None,None
1/16/2002,0.01,0.01,0,0
4/18/2002,0.002,None,None,None
7/16/2002,0.01,0.01,0,0
10/16/2002,-0.0022,None,None,None
1/15/2003,-0.0004,None,None,None
4/16/2003,0.0007,None,None,None
7/16/2003,0.0009,None,None,None
10/15/2003,0.01,None,None,None
1/14/2004,0.01,0.01,0,0
4/14/2004,0.01,0.01,0,0
7/14/2004,0.01,0.01,0,0
10/13/2004,0.02,0.01,0.01,100
1/12/2005,0.01,0.01,0,0
4/13/2005,0.01,0.01,0,0
7/13/2005,0.01,0.01,0,0
10/11/2005,0.01,0.01,0,0
1/18/2006,0.02,0.02,0,0
4/19/2006,0.02,0.02,0,0
7/19/2006,0.02,0.02,0,0
10/18/2006,0.02,0.02,0,0
1/17/2007,0.04,0.03,0.01,33.3333
4/25/2007,0.03,0.02,0.01,50
7/25/2007,0.03,0.03,0,0
10/22/2007,0.04,0.03,0.01,33.3333
1/22/2008,0.06,0.06,0,0
4/23/2008,0.0425,0.0375,0.005,13.3333
7/21/2008,0.0425,0.0375,0.005,13.3333
10/21/2008,0.045,0.04,0.005,12.5
1/21/2009,0.0625,0.05,0.0125,25
4/22/2009,0.0475,0.04,0.0075,18.75
7/21/2009,0.0475,0.0425,0.005,11.7647
10/19/2009,0.065,0.05,0.015,30
1/25/2010,0.13,0.075,0.055,73.3333
4/20/2010,0.12,0.0875,0.0325,37.1429
7/20/2010,0.125,0.11,0.015,13.6364
10/18/2010,0.165,0.145,0.02,13.7931
1/18/2011,0.23,0.1925,0.0375,19.4805
4/20/2011,0.2275,0.1925,0.035,18.1818
7/19/2011,0.2775,0.2075,0.07,33.7349
10/18/2011,0.2525,0.265,-0.0125,-4.717
1/24/2012,0.495,0.3625,0.1325,36.5517
4/24/2012,0.44,0.3575,0.0825,23.0769
7/24/2012,0.3325,0.37,-0.0375,-10.1351
10/25/2012,0.31,0.3125,-0.0025,-0.8
1/23/2013,0.4925,0.48,0.0125,2.6042
4/23/2013,0.36,0.3575,0.0025,0.6993
7/23/2013,0.2675,0.2625,0.005,1.9048
10/28/2013,0.295,0.285,0.01,3.5088
1/27/2014,0.5175,0.5025,0.015,2.9851
4/23/2014,0.415,0.365,0.05,13.6986
7/22/2014,0.32,0.3075,0.0125,4.065
10/20/2014,0.355,0.3275,0.0275,8.3969
1/27/2015,0.765,0.65,0.115,17.6923
4/27/2015,0.5825,0.54,0.0425,7.8704
7/21/2015,0.4625,0.4525,0.01,2.2099
10/27/2015,0.49,0.47,0.02,4.2553
1/26/2016,0.82,0.8075,0.0125,1.548
4/26/2016,0.475,0.5,-0.025,-5
7/26/2016,0.355,0.345,0.01,2.8986
10/25/2016,0.4175,0.415,0.0025,0.6024
1/31/2017,0.84,0.8025,0.0375,4.6729
5/2/2017,0.525,0.505,0.02,3.9604
8/1/2017,0.4175,0.3925,0.025,6.3694
11/2/2017,0.5175,0.4675,0.05,10.6952
2/1/2018,0.9725,0.965,0.0075,0.7772
5/1/2018,0.6825,0.6725,0.01,1.487
7/31/2018,0.585,0.545,0.04,7.3394
11/1/2018,0.73,0.7,0.03,4.2857
1/29/2019,1.05,1.04,0.01,0.9615
4/30/2019,0.62,0.59,0.03,5.0847
7/30/2019,0.55,0.53,0.02,3.7736
10/30/2019,0.76,0.71,0.05,7.0423
1/28/2020,1.25,1.14,0.11,9.6491
4/30/2020,0.64,0.56,0.08,14.2857
7/30/2020,0.65,0.51,0.14,27.451
10/29/2020,0.73,0.7,0.03,4.2857
1/27/2021,1.68,1.41,0.27,19.1489
4/28/2021,1.4,0.99,0.41,41.4141
7/27/2021,1.3,1.01,0.29,28.7129
10/28/2021,1.24,1.24,0,0
1/27/2022,2.1,1.89,0.21,11.1111
4/28/2022,1.52,1.43,0.09,6.2937
7/28/2022,1.2,1.16,0.04,3.4483
10/27/2022,1.29,1.27,0.02,1.5748
2/2/2023,1.88,1.94,-0.06,-3.0928
5/4/2023,1.52,1.43,0.09,6.2937
8/3/2023,1.26,1.19,0.07,5.8824
11/2/2023,1.46,1.39,0.07,5.036
2/1/2024,2.02,1.93,0.09,4.6632
