Date,Open,High,Low,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,,,,,,
2/5/2024,188.149994,189.25,185.839996,187.679993,69668800,2.02,1.93,0.09,4.6632,,,,,,
2/2/2024,179.860001,187.330002,179.25,185.850006,102518000,2.02,1.93,0.09,4.6632,,,,,,
2/1/2024,183.990005,186.949997,183.820007,186.860001,64885400,2.02,1.93,0.09,4.6632,,,,,,
1/31/2024,187.039993,187.100006,184.350006,184.399994,55467800,1.46,1.39,0.07,5.036,,,,,,
1/30/2024,190.940002,191.800003,187.470001,188.039993,55859400,1.46,1.39,0.07,5.036,,,,,,
1/29/2024,192.009995,192.199997,189.580002,191.729996,47145600,1.46,1.39,0.07,5.036,,,,,,
1/26/2024,194.270004,194.759995,191.940002,192.419998,44594000,1.46,1.39,0.07,5.036,,,,,,
1/25/2024,195.220001,196.270004,193.110001,194.169998,54822100,1.46,1.39,0.07,5.036,,,,,,
1/24/2024,195.419998,196.380005,194.339996,194.5,53631300,1.46,1.39,0.07,5.036,,,,,,
1/23/2024,195.020004,195.75,193.830002,195.179993,42355600,1.46,1.39,0.07,5.036,,,,,,
1/22/2024,192.300003,195.330002,192.259995,193.889999,60133900,1.46,1.39,0.07,5.036,,,,,,
1/19/2024,189.330002,191.949997,188.820007,191.559998,68741000,1.46,1.39,0.07,5.036,,,,,,
1/18/2024,186.089996,189.139999,185.830002,188.630005,78005800,1.46,1.39,0.07,5.036,,,,,,
1/17/2024,181.270004,182.929993,180.300003,182.679993,47317400,1.46,1.39,0.07,5.036,,,,,,
1/16/2024,182.160004,184.259995,180.929993,183.630005,65603000,1.46,1.39,0.07,5.036,,,,,,
1/12/2024,186.059998,186.740005,185.190002,185.919998,40444700,1.46,1.39,0.07,5.036,,,,,,
1/11/2024,186.539993,187.050003,183.619995,185.589996,49128400,1.46,1.39,0.07,5.036,,,,,,
1/10/2024,184.350006,186.399994,183.919998,186.190002,46792900,1.46,1.39,0.07,5.036,,,,,,
1/9/2024,183.919998,185.149994,182.729996,185.139999,42841800,1.46,1.39,0.07,5.036,,,,,,
1/8/2024,182.089996,185.600006,181.5,185.559998,59144500,1.46,1.39,0.07,5.036,,,,,,
1/5/2024,181.990005,182.759995,180.169998,181.179993,62303300,1.46,1.39,0.07,5.036,,,,,,
1/4/2024,182.149994,183.089996,180.880005,181.910004,71983600,1.46,1.39,0.07,5.036,,,,,,
1/3/2024,184.220001,185.880005,183.429993,184.25,58414500,1.46,1.39,0.07,5.036,,,,,,
1/2/2024,187.149994,188.440002,183.889999,185.639999,82488700,1.46,1.39,0.07,5.036,,,,,,
12/29/2023,193.899994,194.399994,191.729996,192.529999,42628800,1.46,1.39,0.07,5.036,,,,,,
12/28/2023,194.139999,194.660004,193.169998,193.580002,34049900,1.46,1.39,0.07,5.036,,,,,,
12/27/2023,192.490005,193.5,191.089996,193.149994,48087700,1.46,1.39,0.07,5.036,,,,,,
12/26/2023,193.610001,193.889999,192.830002,193.050003,28919300,1.46,1.39,0.07,5.036,,,,,,
